[0s]	ಸ್್ಜೆನಹಂಗನನುಲಲದ ಹತೊಡಲಾಹಮೆ ಟಾಾ
[330s]	ಯಳಲ್ಲಿ ಮಳ ಮರಳು ಮಲ್ಲುಮಿಷದ ಹೊಂಡಿದ್ದದ ಎಂಪು ಕೊಂಡುಳವೆ ಸಾಗೂ ಅಸೆಂಬಲು ತರ್ಗಬ್ಹಣ್ಡಿ ದಾಯವ ತೆಗೆಲ ವಜಾವ ಸಡರ ಕಪ್ಪನೆ ಗಹ್ುಣಿದಾನವಾಗಿ ಹೊಸೆ ಬಹು ಗಬ್ಮನ್ನು ಲೋಜರ್ಣ ಲಾಯನಿದ ಲಾಗಲ ಬಡ ಲೇಯರ ನ್ರಜಾಣಗಳಲ್ಿ ಕಪ್ಮರ್ಡಲಿ ಮಾಳಹಲೇ ಇದು ಇ ಮಾಗ್ಲೇದನಲ್ಲಿದ ಸ್ವಲ್ಪಟ್ ರೆಯಾಥಸ್ ನ ಲೆಯಲ ಊರು ಹೂಣಾದೆ ರಯಾಸ್ ಗಳು ಈ ಗ್ಯಾಸ್ತುಮೆಯನ ಅದೇ ಈ ಮೂದು ಮರದು ವೇರೀ ಇರುಗಲ ಆಮೇಯರು
[360s]	ಗಾಳೇ ಯೆ ಸಪೋಸ ಅಗಾಳಿಗೆ ಸ್ೋದಲಯಾಹದೆ ಅಭ್ವೇಯನನ ಗಳವಳಹೆ ನಿಲದಣ ಹುಂದಿಗಾಲ ಅವಾಗಿದು ರುವ ಅಂಬಿಲ ಅರುಗೆಲ್ಮಾಂಡರಲೂ ಕಪ್ವಂಡ ಲ್ಯಾರನು ಗಳಹಿಲೆ ರಾ್ಟ್ ಬಲ ದ ಶ್ಲದೆ ಒಂದು ಬ್ಯಿಗೊದಡಿಸಿದನು ಆವರಟ್ ಮಂಡ ಆಹಂಡನ ರ್ಯಾಣ್ ಮುಸ್ದ ಅದಾಧ್ಯ ದಿಲಸ ನರ್ಿಯೇಶಗ ವಿಗಲ್ಲ ನಾನಟ್ ನಾಡಗಾದ ವಸಿದಿಯ ಮರ್ಯಾಬ್ ಬಾ್ಗ ಎಂಟ್ರನು ಹೊರಲ ಇದೊಅ್ನು ಮಿಲಟಿಲೊಲ್ಲಿಯಡ್ ಆ ನೆಸ್ಸು
[390s]	ೋ ಈ ಮಹಿದ ೈ್ನೋಮ ೈಗಳಲಯ ಉದು ನಮ್ಲೈದದ ಇಲೆ ್ಲೈನ ಮೊಧ್ದಯನಾಯಲೆ ಈ ಲೇನಲೇ ಹಐು ಹಿಟ್ರುವೆಂಗಿಳಲಿಡಿಲ್ಲ ಆಹುಲಿವು ಒಂದಗಲ್ವೇಡಿಸಿದಿನ ಅವರೊಂಂಹು ರಯೆಂಯದ ಈ ನದಾಡಿಹುನ್ಬಹುಗುದು ಆ ಮೊಂಡದೇ 1ಾುರಾನವಲೂ ಸೀವೆಲು ವಯಾಗದ ಹ್ಮೆಳ್ಳಿನ ಢಹು ತ್ಲೆಗಳ ವಿಗಳು ಕೊಯುಿಮೇಳಾಲದ ಒಹಗಾ ನಿಮ ಸಹಾಸವು ತಲನಲಹೋ ಸೋಗಳಲಾದ
[420s]	ಅಲ ಅಭಯಲಯ ಯಾಲಲ ಗಂಗ್ಯಾನ ಹುಹಮನೆನಾ ಹೆನ ರನರ್ವೇಲಹೆಯೇ ವಿ ಯಾದೇ ಮಾಲಗಳಿರು ವ ವೇ ಸ0 ಇಜಲ್ಲ ನಾಂಡು್ದಯು ಅದರದೆ ಯಾಗೆರಾರ ಸಾಧ್ಯನಲ್ಲಿ ಲಾಹಗ ಒಳ್ಳ ಸಾಳಸದ ಲಾದದ ಅವದು ಆಮಾರು
[450s]	ಸತ್ವಇರ್ ಒೊೋಲ್ದಿನಾದೆ ರಿಮೆಯ್ವಿನ್ ಸುನ್ನಯಲಯಂದ ಸಯಾಳಾವು ಅದಾದ್ಯ ಅದಹೆ ಶ್ಯಾಣ್ಳಿಯನುಹು ಲಾಧತದ ಮಹುಲಗಳಳೂ ಅದನಿ ಯೆೈ ಸಗ್ಲಯ ಮಾಣಕಾದ್ಯಾದ್ಯೂಬ್ರೆಂಟ್ ನ ಅದಲದೊತ್ದರೆ ಗಹಹವು ಇಲ್ಲಿ ವಿಗಯೋಜಜ ಆಂನಾಯ ಇಯಾ ವಿಮೆಂ್ಟು ಒ್ದೈ್ ಯ ಸೂಗರ ಮಾಯನ್ನೌಸಂ್ಭಹಿಸುತ್ತರಗಳು ಅಹ್ು ಒಳದಡೆ ಈವು ಮೇಲ್ ನಾಲಹು ರುಸಿಗ್ರಸಿದ್ಲೋ ಆ ಮದ್ವಿ  ಐದೋಸಲೂಮಿ ಗಳೈಯನ್ನು ಗಳ್ನಡದ್ದ ಅದಲು ಒನದ ಒೊಂಟದಿಲ ವ್ಯಾಾ್ಯಯುಜಾದೆ
[480s]	ಳಳ ಯ್ಲಯಲುಗೆ ಶ್ನಾಲ್ಹು ನ್ೀ್ಳದ ಯಬವು ಆಾಹಳ್ಳುಲದ ಕುದು ಆಗಗಂಡ್ಳೋ ಸೂಗ್ಯ ಅಂ ಹಿವೋದ್ ಲಖ್ಯರ್ವುದು ಅಲ್ನೇ ಜದ ಇಪದಂಶಯಿಲ್ದ ಕಲಯಾದ ಅಣ್ಣು ಮಿಳ್ಳೂ ಸ್ಹ್ವಾ ಈಯಾರ್ಸ್ವರೇಟಿಗರುವದಾಲ ಮಯಳಿ ವಾು ನೇಡಿ ಅಂಥವನ ಸಲಯಕ್ ಮಟ್ಟೊಂಣ ಕೊಂದದಡೆಟಕು ಾಲಯ ಇವು ಯಾದಾ ಫಾರ್ಸ್ರೀ ಸಾಸ್‌ನಿ ನಿಳ್ಿಸಿಲಿಕಹುದತೋದೆ ಇವಂ್ಬನ್ ವಳಯ ಗರನೆಗಳಸಲ್ಲಾಗೋದೆ ಇಂಬನ್ ಮಹಹ ಸಾಯಮ್ಜತೆಯಾದಗ ಅಹುುದಾದಿನ್
[510s]	ಆವಿಸುವ ಅಯದ ಅದುದುು ರೈವಯಿಶರೋಳ೦ಉಣ್ಣು ವಇದುದು ದೆವರಿಂವಣನೂ ಹುಣ್ಾದ ಎಳೋಲಯಲ ಆಳೆ ಕಾವಡಜ್ ಲ ನಿಮ ಅಣ್ಮಿಲಿಳಾಜ್ಯನಲ್ಲೇ ಇಾ ಮಹಿಮ್ಮ ಸೊಗಣೈಜೋದ ನಲೆಗವಲ್ಡ್ಯಾಗುದರ ಡ್ಯಾಯಇದ್ ಅಲೆರಾದದೆ ಈ ಮನ ಹೊಡ್ಡಾದಸ್ನದೆಎನ್ಲದೆ ಅತ್ಯಲ್ಲಿಕುಗು ಮಾಯಾದ ಹಿರಿಯು ಒದಯ ಳ್ನೆಜಲ್ನು ಒೊಳ್ಲಯೆ ಹೊದೆ ಗಾರ ಹೂ್ರಾಸಾದ ್ಯುಟ್ಸಂದಲಯಲ್ಹೂ ಬಡಿದುಗಳಿದೆದ
[540s]	ಗೊದೆಯ ವರ ಇವು ವೀಕಾಸ್ದು ಗಳಳದ ಇತಿ ಹೇಳೆಗ್ು ತಂನಾಂಡಟಟಣಣಟಟಡನಣೊಣರನಂನ ಲೊದೋಜಿ ಯಳು ವೇವೆ ಇ_್ ಹದ ್ಲೋ ಸ್ಲಾಥೆಯು ಎನ್ ಇಳು ದೇಹಬುದೆ ಉಲಾಹಸಾ ೆಳಾದೆ ನಾಟಡ್ ಹಯಾಗಿಶ್ತವೆವು
[570s]	ಹನೆಳ್ ಹೊಳದಾರೆ ಹೆಸದು ಗಜಕೊಳಲ ನೀ್ ಮುಂಡದ ಯರ್ಣುಧರ್ಸ್ಯನಡವವೇ  ರಿರ್ಲರೊಗಿನಲ ನಡಹಗು ನೊಜಾಣು ಗಳೆಯು ಅಂಗೊರ್ದನೆ ಟಗ್ಗೆಗಳೆಲ್ನಟ್ಟ ೊಂಗಿಲ ರೌಮಿಗಳುಿಂದೆ ಅವಳಿಸಿದ ಮಲೆನಾರಿ ಮೂಲ ಗಳಹಳಿದೆ ನಡಲ್ ಅಮೆ ಗಿಳಿ ಡೊಮೆಯ ಮುಲಗನಾಲ್ಲದೆ ಅಗವಗೆ ಇಿನ ಮಳಿನೀಗರಿನಲದ ಒಳಗುವವುದೆ ವಿಮೇ್ ಗಳಿದಿಂದ ಅವವನೇ ಕಂಡಾಯಲ್ಲದೆ ಆ ಹುಡು ವೆ ಇಮೊದಿರೋಸ ಎನಲ್ಲ ಹಾಲ ತೋರ್ಳಾದನ ಅದಾ್ಯ ಿ ನೆಲ್ಲ ಮಾಣುಸಿದದಿಂದ
[600s]	ನ್ಯಾಲಯಸ್ ಮೆಳ್ ಮಾಳಾಖ್ಯ ಅದೇ ೇನಾವವು ಜಿಹಿಂದಏ ಜಂಹಿಮಾದು ಅರಣ್ಣು ಲಾಖಾರದ ಅದದನೈರದ ಲಿಜಿಂತೆ ಇನುವುದು ಅದನಿ ನಿೈದ ರಾಗಿು ೋಮೋರ್ಗಟರ ಬೊರದ್ನ ಬೀಳು ಒಂಬಾನ ಸೂಹಿಸಿದತ್ದ ಅಗಾದ ರಲಸ್ಜಿ ಯಂದು ವಗ ಜಿಹುದ ಮಾಳಾಸಸರಿಮ ವಿವಾ ೂಣರಾಗಿದು ಗಣಯಯಲ ಬಾಗಿಸ ಒೊಡಕೆಯೆ ಅವಾರನದ ಹದೇದೆ ಊುಳ ಉಣವುಗಜಾಸಿ ಅದಗೆ ಎಲ್ಲಯ ಇಲ್ಲೂದು ಇವು ಐಿ್ರೈರಿನನಹೂಳ
[630s]	ಆ ವ್ರಯಾಯಂಸು ಹೊಸ್ ನಿಂ್ಡಾಲದ ಲಾ್ಟ್ರಗು ಮೀಳ್ ಸುಲರಿದ ಆಾಗಲ್ಲೂ ನೀಯುಸ್ಥಿ ಅಂ್ಣ ಮೌ್ಯವೋಗೆ ಕಾಟರ್ ನ್ಯಾವೇಜ್ ಮಾನಲಾದಹೂ ತ್ಯೈಕರ್ ಡ್ ಯೈವಜಿ ನಾಳದೆ ವೆಗಡೈ ಒಬರವ್ಡ್ ಹೂಡುವು ಅದಾಲೇಜಿನಾದ್ಯಾದಗೆನ್ನದೆ ಇಮೂಲಿಸು ನಂದರಿ ಗರಶಿಳಿರ ೈಲಿಯಲ್ಲಿ ನೌಯುಶಿಳಿಯಾದ ಇಳಿದಾಹ್ಲಿ ಅದು ನೇಳ ಸುಹಹರನಂದಿದಿನ ಆದಹ್ಯ ಹಲಹಿನ ೊನ್ನೂರ್ಸು ನಂ್ವಿಯ ಲಮಾಹೂ ವಿಹೋಹಲದಹೂ ಮಾಳದೇಜಲಾಯ
[660s]	ಅಹಿಲೆ ಅವಹೋವರ್ಗ್ಯ ಂಹ್ತೊಯನೂಳಿಸುವ ಮಾಡಿಲವಬಹದು ಲಭವಿಸಲ ವಿದೆ ಹಣೆಲು ವಾ ಜಜಾಟ್ರ ಾಗಜ ಮಾರ್ಳ ಹಲ್ಿದಲ್ ಹೋರ್ಗಳಿಲ್ಲೂ ಅವೋಳೆ ಮುನಿಬಲ ಅವಗೋ ಹುದಿದ ನೀಿ ಲೆಡ್್ಞಾನುಗ ಒಳದಲಯದಲಲ್ಲ ಆಣವಿದ ಅಳ ನಿ್ಮಾಡ್ಲಿಅಒಂೊನೂನುೊನು
[690s]	ದಣಅದ್ಯಲನು ಲೆಸ್ ಎಎಲ್ ಮದ ಲ್ಳಿದಿಲ್ಲನ ನೇರ ನ್ಯಾ ್ ಕಣ್ಣಾರವ ಹರಿಹೂ ಬೇರೆ ಹಿ್ಳ ಇಳ್ಗಳಿ ದು ವೆರ್ರಶುವದ ಲಾಗಾಡೆಗು ನನಂಯಯ ಏ ಹೆಸರೋವಿಜಾಗಳು ಸೂಹಿಲು ಹೊಂದಿಲ ಅದಯ ಅದಕ್ ಿ ಎಲ್ಲ ಮಾಳ ಯೇದ್ ಉಂವೇ ನಿಗರ್ಸಹಾಸವುದು ರತಿ ದಿನಾದ ವಾರ ಔಸರಿಸ ಹೊಟ್ಟೆೇ ಒಹಳು ಮಾ್ತಿ ಮಲ್ಲದೋಗೀವಗಳೂ ಅದ ಗಂಿಶನೆ ಇದೆ ಅಗ್ಯೆನಿ ಒದ್ಯಾಯದೆ
[720s]	ಅದರೆ ನೋಳುದೇರೆ ವಿಹೋಗಲಲ್ಲಿ ಸ್ಮಾಸೌಸಿಸಿ
