[0s]	ದದೊ್ಳ್ಳದೊದತೊತತೊಳಳ್್ಳತ್ಳತೊಲತೊತತತತತಹಹತ
[330s]	ಿಂತಂದರೆ ಖಂಡಿತ್ವಾಗ್ಲೋದು ಊಲಿಯವುದಿ ಲ್ಯಕಂದ್ರೆ ಬಣ್ಣಿಂದ ದು ಕೇವಲ ಯೈ2್ ಮೂರ ಸತ್ವವನ್ನ ತಗಳೊದಕ್ಕೆ ಸಾಧ್ಯಾಗತಯದಕ್ಕೆ ಇನ್ನೂಳಿದ ಸತ್ವ ಎಂ್ಬೇಕುವಾದಕ್ಕೆ ಒಂದು ಮತ್ತೊಂದುಗಿಡದ ಅವಶ್ಯಕತೆ ಇಿರತೆ ಸವಧುನಿವು ದಾಳಿಂ ಬಹಾಕುವುದು ಸೇವಾಕವುದು ಪ್ವಪಯಾಕವುದು ಯಾವು ಗಿಡಾಬೇಕಾದರು ಹಾಕುವುದು ಆದರೆ ಅದಕ್ಕೆ ಆ ಒಂದು ಸಪೋರ್ಟ್ ನ ಹೋಸ್ ಪ್ಲ್ಾಂಟ್ ನಲ್ಲಿಯು ಪರಾವಲಂ ಬಿಗ್ಡಾನಲ್ಲಿೂ ಕೊಡ್ಳೆಬೇಕು ಹೀಗಿದ್ದಾಗೆಯನಾಗತೆ ಆ ಒಂದು ಗೀಳದ ಬೇರಿನಿರ್ತೆ ಅಬೇರು ನಿಧಾನಕ್ಕೆ ಈ ಒಂದು ಬೇರಿಂದ ಸತ್ವವನ್ನ ಪಡ್ಕೋಳದಕ್ಕೆ ಶುರು ಮಾಡತೆ ಆ ಸತ್ವವನ್ನ
[360s]	ಪಡ್ಕೊಂಡು ಈ ಒಂದು ಹಣ್ಣಿನಗಿಡ ಎಷ್ಚು ಚಿನ್ನಾಗಿ ಬೆಳೆಯುತ್ತು ಅಸ್ಟೇಚನ್ನಾಗಿ ನಿಮ್ಮ ಶ್ರೀ ಹಂದದ ಮರಕೂಡ ಬೇಳಿಯುವುದಕ್ಕೆ ಸಾಧ್ಯವಾಗತ್ತಿಸು ಇದಿ ಯಾವತ್ತೂ ಒಂಟಿಯಾಗಿ ಬೇಳೆಯವದಿಲ್ಲ ಇದಕ್ಕೆ ಮತ್ತೊಂದು ಗಿಡದ ಆಸನಿ ಕಂಡಿತಾಗುಲುಬೇಕು ಅದರಲ್ಲಿ ಮತ್ತೊಂದು ವಿಷ್ಯವನ್ನನವು ಗಮ್ನಸ್ಬೇಕು ನವೆನಾದರು ಪರಾವಲಂಬಿಗಿಡವನ್ನ ಹ್ಯಾಕ್ನೆಯ ದಿವಿಯಿಂಟ್ಟಂದ್ರೆ ಅದು ಶ್ರೀಗಂದಕ್ಕಿಂತ ಎತ್ತ್ರ ಇರುವಂತ ದನ್ನ ಹಾಗ್ಬರದು ಯಕಂದ್ರೆ ಸೂರ್ಯನ ಕ್ಕಿರಣಾದಕ್ಕೆ ಬಹಳ ಮುಖ್ಯವಾಗತೇಆ ಕಿರ್ಣಗಳಿಂದನೈದರಲ್ಲಿ ಯೈಣ್ಯನ
[390s]	ಅಂಶಕೂಡಾ ಉಳಿಯೋದಕ್ಕೆ ಸಾಧ್ಯವಾಗತೆನೀವು ಮತ್ತೊಂದು ಪರಾವಲಂಬಿಗಿಡ ಬಹಳಷ್ಟು ಒದ್ದು ದಿನರು ಹಾಕೃದರಿಯಿಂದೆಕ್ಹಂಡಿತುವಾಗ್ಲೂ ನಿಮುಗೆ ಎಣ್ಣೆ ಅಂಶಆ ಮುಂದು ಗಿಢದಲ್ಲಿ ಕಾಣ್ಸ್ಕೊಳುದಿಲ್ಲಾಷ್ಟಾಗಿ ಶ್ರೀನಂದಾಂದಯ ತಕ್ಷ್ನ ಬಹಳ ಕೃಷಿಯಾಗತೆಇದನೋರ್ತ ಇದಗೆ ನೀವು ಕೂಡಾಯದಿನ ಪ್ಲ್ಯಾಂಟೇಶನ್ ಮಾಡ್ಮೆಫೋಂತಿದ್ರ ಆದ್ರೆ ನೌಶ್ರೀಗಂದಾಂತ ಯೋಷ್ನೆ ಮಡಕು ಮುಂಚೆ ಕೊಾನ್ಚಿಕ್ನನ್ಸಿಸ್ ನ ಯುವಶ್ನೆ ಮಾಡೆ ಕೊಂದ್ರೆ ಗಿಡ ಹಾಕೊದ್ದೊಡ್ ವಿಷಿಯಲ್ಲ ಗಿಡನ ನೋರ್ಕೊಳದು ದೊಡ್ ವಿಶಿಯಲ ಎಲ್ಲವನ್ನು ಮಾಡ್ಟಿರ ಗರಿಂದರಿಂದ
[420s]	ಕಾಪಾಡುವದಿದ್ಲ ಆದು ದೊಡ್ಡುವಿಷ್ಯಯಾಕೆಂದ್ರೇ ನಮ್ಮ ಈ ಗಿಡ ಕಟ್ ಮಾಡುವಂತಹ ಒಂದು ಸ್ಥೀವಿಗೆಬಂದಾಗ ಕಳ್ಳರಕಾಟ ಬಹಳ ಜಾಸ್ತ್ೆಯಾಗದ್ದಿಸ್ಸೋ ನಿಮ್ಮ ಸೆಖಿಯರುಟಿ ಸಿಸ್ಟಂ ಬಹಳ ಸ್ಟ್ರವಾಂಗಾಗಿರ್ಬೇಕು ಇದಕ್ಕೆಂದಿವು ಸ್ವಲ್ಪ ಇನ್ವರ್ಸ್ ನಿಲ್ ಮಾಡುವೇಕಾಅಗಿತೆ ಗಿಡ ಬೆಳೆದ ನಂತರ ಇದಕ್ಕೆ ಯಾವಿಲ ಅಪಶನ್ಸಿದಶಿ್ಸಿಟಿವೆ ಕ್ಯಾಂಮ್ರಾಸಿದೆ ಫನ್ಸಿನ್ಸಿದೆ ಅಥವಾ ಸ್ೋಲಾರ್ ಫನ್ ಸಿಂಗಿದ ಜಿಪಗೆ ಯಾವು ರೀತಿ ಬೇಕುನಿವು ಕಾವುಲದಗೆ ಕಂಡಿತವಗ್ಲು ನೋಡ್ಪೊಳುವುದು ಜ್ಯೊತೆಯಲ್ಲಿ ಯರಡ ಮುದೋಳ್ ನಾಯುದರು ಸಾಕು ನೀವು ನಿಮ್ಮ ಒಂದು ಸೆಕ್ಕಯ ರೀಟೀನ ನಿಮ್ಮ
[450s]	ಏದ್ಾ ಹೇಗಿದೆ ಅದಕ್ಕೆ ತಕ್ಗಂತೆ ನಿಮ್ಮ ಭಜೆಟ್ ಗತಕಂಟೆ ಪ್ಲ್ಯಾನ್ ಮಾಡಿ ಮೋದಲು ಕೈ್ಳರಿಂದ ರಕ್ಷಸ್ಕುಬೇಕಯಾಕಂತಂದ್ರೆ ಕೈಿಲ್ಡರಿದನ ಕಂದ್ರು ಅಂತದಲ್ ಯವಸ್್ಟೂ ಕಷ್ಟಾಪಟ್ಟು ಎಲ್ಲವೂ ವ್ಯರ್ತವಾಗುವುದೆ ಇನೊಂದು ಅಡ್ ವಾನ್ಸ್ಟ್ ನವಿನಾದು ನೋಡುತುವಂತಂದ್ರೆ ನಮ್ಮ ಮರಗಳಲ್ಲಿ ಚಿಪ್ ನ ಹಾಕ್ ಲಾಗತೆ ಸ್ವಆವುಂದು ಚಿಪ್ ನ ನಮ್ಮ ಫಾರನಜ್ಜಿಪಾಟ್ ಮೆಂಟಿಂದನೇ ಕಂಟ್ರೋಲ್ ಮಾಡ್ಳಾಗತೆ ಸುನಿಮ್ಮ ಗಿಡಾಯರದು ಕದುಕೊಳೋರು ಕೂಡ  ಮರ ನಮಗಿೆ ಎಲ್ಲಿದೆನ್ನದು ಹಂಡಿತುವಾಗ್ಲೂ ಗೊತ್ತಾಗೆತೆ
[480s]	ಈ ರೀತಿಯಾಗಿನಾವು ಮದಲು ಶ್ರೇಗಂದದ ಪ್ಲ್ಯಾಯಿಂಟೇೈಶನ್ ಶುರು ಮಾಟುವಿಯಂತ್ ಅಂದ್ರೆ ನಾವಶುರು ಮಾಡುಲ ಜಾಗ ಹೇಗಿದೆ ಸೆಕುರಿಡಿ ಸಸ್ಚಿಮ ಹೇಗಿರುೇಕೂ ಇದುನ್ನ ಪಸ್ತು ತಿಳ್ಕು ಬೇಕು ಇದರ ನಂತರ ಸಸ್ಿಗಣ್ಣ ಯಲ್ಲಿಂದ ತರ್ಬೇಕು ಎಷ್ಟಿಕ್ಕೆ ಸಿಗತ್ತೆ ಅದುನಾ ಹೇಗೆ ಪೋಷಃಸ್ಬೇಕು ಆರಿಂದ ಏಳುತಿಂಗಳ ಸಸಿಗಳ ನ ಮುಖ ಸಿಗತೆ ಅದಿನಾ ಒಂದು ಮೂರು ವರ್ಷದುವರ್ೆಗೂ ಬಹಳ ಹುಷಾರಾಗಿ ನೋಡುಕೂಳ್ಬೇಕು ದೊಡ್ಡ ದಾದ್ಮಿಲಾದಕ್ಕೆ ಮತ್ತೊಂದು ಗಿಡದ ಆಸ್ರಿನ ಖಂಡಿತ್ವಾಗುನು ಪೋಟ್ತಿವೆಾಆದ ಚಿಕ್ಕದಿದ್ದಾಗ ಯಾವ ರೀತಿಯ ನೋಡ್ಕೊಂಳೆಪು ಪ್ರತಿಯೊಂದನ ಕಲ್ತೂ ನ್ಯಂತರ ನಿರ್ಿ
[510s]	ದಿನ ಶುರು ಮಾಡದರಿಯಂತಂದ್ರೆ ಖಂಡಿತುವಾಗ್ಲೂ ನೀವು ಕೂಡ ಹತ್ತು ವರ್ಷ ಮಿನಿಮಂದಿ ವುಸಾವಯವಕೃಷಿ ಮಾಡದರು ಇಂತಂದ್ರೆ ಒಳ್ಳೆಯ ಆದಯಾಗಳ ಸ್ಥಿರ ಕೋ್ಟಿಯಾದಿಪದಿಯಾಗದಂತು ಗ್ಯಾರೆಂಟಿ ಈ ಒಂದು ಕೃಷಿ ಮಾಡದರೆ ಸೋನಮ್ಮ ಫ್ರೀಣ ಮ್ಯಾಪಲ್ಲಿ ಸ್ಾಂಡ್ನ್ನುಡಂದ್ರಶ್ರೀಗಿಂದದ ಆರ್ಗಾನಿ ಫ್ಾಮಿಂಗ್ ಕೋರ್ಸ್ುನ ನೋಡಿ ಒಬ್ಬರು ಈ ಒಂದು ಫಾಮಿನಜ್ನಶುರು ಮಾಟರೆ ಜೂರುಮಾಡ್ಬೇಕು ಒಂದಗೌರಥ ದುಡ್ಡುಪುಡ ಇರುವದಿಲ್ಲ ಮನೆ ನೆಟ್ಟೂರವ ವಡ್ುವನುಯುದ್ಭರತೆಯನ್ಬು್ಡದನ ಮಾರಿ ಜಮೀಂತಗೊಳಯ್ಿತರ ಇಒಂದು ಕೃಷಿಮ ಸ್ಥಾಟ್ ಮಾಟ್ದರ
[540s]	ರೆ ಅವುರೈವತ್ತು ಬಹಳ ಕುಷಿಯಾಗಿದರೆ ಇನ್ನೊಂದು ಕುಷಿಯಾದ ವಿಷಯನ್ನುಂದಂದರೆ ಈ ಒಂದು ಫಾರ್ಮ್ ಅಔರಧ್ಯನೆ ಸುಬಂಗಳ ಮಾಂತವರ್ ಹೆಸರು ಅವರ ಯಾ ರೀತಿಶೂರು ಮಾಡದ್ರು ಜರ್ನಿ ಹೇಗಿತು ಯಸ್ಥಿಕರ್ಜಿ ಮಾಡದರು ಯಾವ ರೀತಿಯವರಲೈಫ್ ಬದಲಾಗಿದೆ ಪ್ರತಿ ಒೊಂದನ್ನು ನನಿಮಗೆ ನೆಕ್ಸ್ಟಪಿ ಸೋಡ್ನಲ್ಲಿ ತಿನಲ್ಸ್ಕೊಟ್ತು ನಿಸ್ಸು ಈ ಒಂದು ಪ್ರಯಾಕ್ಟಿಕಲ್ ಎಕ್ಸ್ಪಿರಿಯನ್ಸ್ ನಿಮಿಗೆ ನಾನ್ಕೊಟ್ಟಿದ್ದು ನನ್ನ ಪರುವಾಗಿ ಈ ಒಂದು ಬೀಯ ೆಂಪ್ ಫರದು ಬಟ್ ಅರ ಜರ್ನಿಹೇಗಿತ್ತುವದಿನ ಶುರು ಮಾಡುಬೇಕಾದರೆ ಎಸ್ಥಿಕಸ್ಟಾಯಿತು ಯಾವ ಒಂದು ಕುಷಿ
[570s]	ದೇವರಿಗೆಯ ಕೆಂದ್ದೆೈನ್ತ್ಿಯಾಲ್ ವೇ ವರ್ಷಕಾದರೆ ಖರಿಂಡಿತಿವಾಗಿಲವರು ಪೋ್ತಿಯಾದಿ ಪತಿಯಾಕ್ತಿರೆಯವಾಗಾವರು ಮಾರ್ನಿದಂತ ವರುದಗೆ ಮರ್ತುಬಡಿ ಎಷ್ಟು ಬೇಕಾದುತಗೊಳ್ಳುವುದುಸೋ ನೀವು ಕೂಡಾ ನೆಕ್ಸ್ ಲಇಪ ಸೋಡಗೆ ಕಾಯಿತಾಯರಿಯಾವರ ಜಜ್ನಿನ ತೇಳಹವಳಿ ನಂತರ ಅವರು ಏನು ಮಾಡ್ನಟುವಂತರೂ ಅದುನ ಖಂಡಿತ್ವಾಗ್ಲೂ ಮಾಡಿಯಾದು ಮಾಡ್ ಬಾರದುವಂತರೂ ಅದನ ನಇವು ಖಂಡಿತ್ವಗ್ನು ಅವಾಡ್ ಮಾಡರೆ ಬಹಳ ಪ್ರಾಫಿಟಲ್ಲಿರ್ದಿರ ಸೊನೆಕ್ಷಸ್ ಎಿಪ ಸೋಡಲ್ ನ್ಯಾನ್ನುಮಕಸೂತ್ತೂ ನಿಅಲ್ನಿವರು ವೆಲ್ದ್ರ ನಗಿನಕ್ತ ರಮಾಗಿರಿ ಒಂದು ಎಪಸೋರಡ್ ಮೆಸ್ ಮಾಡ್ಕುಡ್ಬ ಅಡಿಕ್ಈ ಸೀರಿ್ ಒಮಬಸ್ ಮಾಡದರೆ ನೀಲ
[600s]	ಸಡ್ದುದ್ಯದ ಳಬಾಅವಾಗ ಜಮಿಇಂಥಒಳಗು ನಿಮತನ ದುಡ್ಡಿತ್ದ ಇಲ್ಲಮಡು ದುಡ್ಲಿಯಲ್ಲಿಲ ಯಿಯನಿರ್ಲಿಲ ಸಕೇಷ್ಟವನ್ಲಕ್ಷಾದ್ರು ಬರ್ತ ಒಂುಗಿಡಕ್ಕೆ ಅದನು ಎಲ್ಲಿ ಎಪ್ಪಡಿ ಮಾಡುದ ರಾಷ್ಟ್ರದುಡ್ ಬರದಿಲ್ದ ಹುದಸಾತಿ ನ ನಂದಿ ಇಂ್ಶಲ ಮಾಡೆ ಅವರೆ ಐಐವಿದಯಯುತೆೈಗಿಸ್ಟಿಯ ಟಡೀಗೆ ಒನಂ ಗೈಡ ಇಡುವೇಪತ್ತ ಅವರ ಎಳ್ರ್ಮೊಟ್
